transfer_id,transfer_date,from_facility,to_facility,product_code,firm_transfer_out,planned_transfer_out,planned_transfer_in,in_transit_transfer_in,on_order_transfer_in,quantity,transport_cost
TXN_034,2025-09-10 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_Brown_Table,0,0,45,0,0,45,269.48
TXN_035,2025-10-03 01:34:35.755428,US_FAC_1,US_FAC_2,Modern_Natural_Chair,41,0,0,0,0,41,225.1
TXN_036,2025-10-01 01:34:35.755428,US_FAC_2,US_FAC_3,Contemporary_Brown_Table,0,0,43,0,0,43,227.67
TXN_037,2025-09-07 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_Natural_Chair,0,0,0,0,18,18,106.6
TXN_038,2025-09-29 01:34:35.755428,US_FAC_3,US_FAC_1,Classic_Natural_Table,0,0,0,0,13,13,69.52
TXN_039,2025-09-28 01:34:35.755428,US_FAC_3,US_FAC_1,Classic_Black_Table,0,0,0,13,0,13,55.25
TXN_040,2025-09-28 01:34:35.755428,US_FAC_2,US_FAC_1,Contemporary_Black_Chair,0,14,0,0,0,14,103.91
TXN_041,2025-09-16 01:34:35.755428,US_FAC_3,US_FAC_2,Contemporary_White_Table,42,0,0,0,0,42,212.98
TXN_042,2025-09-14 01:34:35.755428,US_FAC_3,US_FAC_2,Contemporary_Natural_Chair,0,12,0,0,0,12,60.71
TXN_043,2025-09-14 01:34:35.755428,US_FAC_1,US_FAC_2,Modern_Natural_Table,0,0,0,0,48,48,330.36
TXN_044,2025-10-04 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_White_Table,39,0,0,0,0,39,273.69
TXN_045,2025-09-23 01:34:35.755428,US_FAC_2,US_FAC_3,Modern_Brown_Chair,0,0,12,0,0,12,78.4
TXN_046,2025-09-08 01:34:35.755428,US_FAC_3,US_FAC_2,Modern_Brown_Chair,0,0,46,0,0,46,280.71
TXN_047,2025-10-03 01:34:35.755428,US_FAC_3,US_FAC_1,Classic_Black_Chair,0,0,0,39,0,39,258.25
TXN_048,2025-09-15 01:34:35.755428,US_FAC_3,US_FAC_2,Classic_Black_Chair,0,0,0,41,0,41,281.6
TXN_049,2025-09-24 01:34:35.755428,US_FAC_1,US_FAC_3,Modern_Black_Table,0,0,47,0,0,47,375.74
TXN_050,2025-09-15 01:34:35.755428,US_FAC_1,US_FAC_2,Classic_White_Chair,0,0,44,0,0,44,269.42
