inventory_date,facility_code,product_code,on_hand,available_quantity,safety_stock,days_of_supply
2025-10-05 01:34:35.755428,US_FAC_2,Modern_Natural_Table,23,18,10,11.5
2025-10-05 01:34:35.755428,US_FAC_2,Modern_White_Chair,43,30,20,10.4
2025-10-05 01:34:35.755428,US_FAC_2,Modern_White_Table,24,23,11,10.7
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Black_Chair,51,49,23,10.8
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Black_Table,26,19,11,11.6
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Brown_Chair,61,43,22,13.8
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Brown_Table,24,17,12,9.6
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Natural_Chair,18,14,18,4.9
2025-10-05 01:34:35.755428,US_FAC_3,Classic_Natural_Table,12,10,8,6.8
2025-10-05 01:34:35.755428,US_FAC_3,Classic_White_Chair,43,30,20,10.7
2025-10-05 01:34:35.755428,US_FAC_3,Classic_White_Table,11,9,9,5.8
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Black_Chair,33,30,20,8.0
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Black_Table,23,21,10,11.0
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Brown_Chair,45,37,19,11.8
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Brown_Table,18,14,8,10.6
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Natural_Chair,29,27,18,7.7
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_Natural_Table,18,16,10,8.9
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_White_Chair,50,47,19,13.0
2025-10-05 01:34:35.755428,US_FAC_3,Contemporary_White_Table,31,25,11,13.9
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Black_Chair,39,34,24,8.0
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Black_Table,19,16,11,8.6
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Brown_Chair,50,45,21,11.5
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Brown_Table,15,11,9,7.6
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Natural_Chair,39,28,21,9.1
2025-10-05 01:34:35.755428,US_FAC_3,Modern_Natural_Table,25,20,9,13.4
2025-10-05 01:34:35.755428,US_FAC_3,Modern_White_Chair,27,19,21,6.3
2025-10-05 01:34:35.755428,US_FAC_3,Modern_White_Table,18,16,8,10.2
